"Grupo";"Norma";"Título";"Publicación";"Organismo";"idNorma";"idParte";"Url"
"Cambio Climático";"Decreto 2065";"PROMULGA LA CONVENCION DE LAS NACIONES UNIDAS DE LUCHA CONTRA LA DESERTIFICACION EN LOS PAISES AFECTADOS POR SEQUIA GRAVE O DESERTIFICACION  EN PARTICULAR EN AFRICA";"13-FEB-1998";"MINISTERIO DE RELACIONES EXTERIORES";"96299";"0";"https://www.leychile.cl/Navegar?idNorma=96299&idParte=0"
"Cambio Climático";"Decreto 659";"PROMULGA ACUERDO CON EL PROGRAMA DE LAS NACIONES UNIDAS PARA EL DESARROLLO SOBRE PROYECTO DENOMINADO "CAPACITACION DE CHILE PARA CUMPLIR SUS COMPROMISOS CON LA CONVENCION MARCO DE LAS NACIONES UNIDAS SOBRE EL CAMBIO CLIMATICO"";"11-JUL-1997";"MINISTERIO DE RELACIONES EXTERIORES";"74178";"0";"https://www.leychile.cl/Navegar?idNorma=74178&idParte=0"
"Cambio Climático";"Decreto 123";"PROMULGA LA CONVENCION MARCO DE LAS NACIONES UNIDAS SOBRE EL CAMBIO CLIMATICO";"13-ABR-1995";"MINISTERIO DE RELACIONES EXTERIORES";"9635";"0";"https://www.leychile.cl/Navegar?idNorma=9635&idParte=0"
"Cambio Climático";"Decreto 1686";"PROMULGA EL ACUERDO PARA LA CREACION DEL INSTITUTO INTERAMERICANO PARA LA INVESTIGACION DEL CAMBIO GLOBAL";"18-ENE-1995";"MINISTERIO DE RELACIONES EXTERIORES";"18366";"0";"https://www.leychile.cl/Navegar?idNorma=18366&idParte=0"
"Cambio Climático";"Decreto 42 EXENTO";"AUTORIZA FUNCIONAMIENTO DE CENTRO DE FORMACION TECNICA QUE INDICA";"10-MAR-1983";"MINISTERIO DE EDUCACIÓN PÚBLICA";"1044207";"0";"https://www.leychile.cl/Navegar?idNorma=1044207&idParte=0"
"Cambio Climático";"Resolución 998 EXENTA";"APRUEBA PLAN NACIONAL DE FOMENTO A LA PRODUCCIÓN DE HIDRÓGENO VERDE EN TERRITORIO FISCAL";"08-MAR-2022";"MINISTERIO DE BIENES NACIONALES";"1173413";"0";"https://www.leychile.cl/Navegar?idNorma=1173413&idParte=0"
"Cambio Climático";"Resolución 197 EXENTA";"CONSTITUYE COMITÉ ASESOR SOBRE CAMBIO CLIMÁTICO";"17-MAY-2013";"MINISTERIO DEL MEDIO AMBIENTE";"1051180";"0";"https://www.leychile.cl/Navegar?idNorma=1051180&idParte=0"
"Cambio Climático";" ";"LEY SOBRE BASES GENERALES DEL MEDIO AMBIENTE";"";"";"30667";"0";"https://www.leychile.cl/Navegar?idNorma=30667&idParte=0"
"Ciberseguridad";"Ley 21678";"ESTABLECE EL ACCESO A INTERNET COMO SERVICIO PÚBLICO DE TELECOMUNICACIONES";"03-JUL-2024";"MINISTERIO DE TRANSPORTES Y TELECOMUNICACIONES";"1204651";"0";"https://www.leychile.cl/Navegar?idNorma=1204651&idParte=0"
"Ciberseguridad";"Ley 21663";"LEY MARCO DE CIBERSEGURIDAD";"08-ABR-2024";"MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA";"1202434";"0";"https://www.leychile.cl/Navegar?idNorma=1202434&idParte=0"
"Ciberseguridad";"Ley 21459";"ESTABLECE NORMAS SOBRE DELITOS INFORMÁTICOS  DEROGA LA LEY N° 19.223 Y MODIFICA OTROS CUERPOS LEGALES CON EL OBJETO DE ADECUARLOS AL CONVENIO DE BUDAPEST";"20-JUN-2022";"MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS";"1177743";"0";"https://www.leychile.cl/Navegar?idNorma=1177743&idParte=0"
"Ciberseguridad";"Ley 21113";"DECLARA EL MES DE OCTUBRE COMO EL MES NACIONAL DE LA CIBERSEGURIDAD";"01-OCT-2018";"MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA";"1123489";"0";"https://www.leychile.cl/Navegar?idNorma=1123489&idParte=0"
"Ciberseguridad";"Decreto 2";"APRUEBA REGLAMENTO DE CIBERSEGURIDAD DE LA DEFENSA NACIONAL";"31-DIC-2025";"MINISTERIO DE DEFENSA NACIONAL,  SUBSECRETARÍA DE DEFENSA";"1219937";"0";"https://www.leychile.cl/Navegar?idNorma=1219937&idParte=0"
"Ciberseguridad";"Decreto 164";"APRUEBA POLÍTICA NACIONAL DE CIBERSEGURIDAD 2023-2028";"04-DIC-2023";"MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA,  SUBSECRETARÍA DEL INTERIOR";"1198702";"0";"https://www.leychile.cl/Navegar?idNorma=1198702&idParte=0"
"Ciberseguridad";"Decreto 12";"ESTABLECE NORMA TÉCNICA DE INTEROPERABILIDAD";"17-AGO-2023";"MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA";"1195125";"0";"https://www.leychile.cl/Navegar?idNorma=1195125&idParte=0"
"Ciberseguridad";"Decreto 83";"PROMULGA EL CONVENIO SOBRE LA CIBERDELINCUENCIA (CONVENIO DE BUDAPEST)";"28-AGO-2017";"MINISTERIO DE RELACIONES EXTERIORES";"1106936";"0";"https://www.leychile.cl/Navegar?idNorma=1106936&idParte=0"
"Ciberseguridad";"Resolución 87 EXENTA";"APRUEBA NÓMINA DE OPERADORES DE IMPORTANCIA VITAL CORRESPONDIENTE AL PRIMER PROCESO DE CALIFICACIÓN";"17-DIC-2025";"MINISTERIO DE SEGURIDAD PÚBLICA,  AGENCIA NACIONAL DE CIBERSEGURIDAD";"1219600";"0";"https://www.leychile.cl/Navegar?idNorma=1219600&idParte=0"
"Ciberseguridad";"Resolución 7 EXENTA";"APRUEBA TAXONOMÍA DE INCIDENTES DE CIBERSEGURIDAD";"01-MAR-2025";"MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA,  AGENCIA NACIONAL DE CIBERSEGURIDAD";"1211464";"0";"https://www.leychile.cl/Navegar?idNorma=1211464&idParte=0"
"Ciberseguridad";"Instrucción GENERAL N° 2";"IMPARTE INSTRUCCIONES COMPLEMENTARIAS SOBRE INSCRIPCIÓN EN LA PLATAFORMA DE REPORTE DE INCIDENTES DE LA AGENCIA NACIONAL DE CIBERSEGURIDAD";"26-DIC-2025";"MINISTERIO DE SEGURIDAD PÚBLICA,  AGENCIA NACIONAL DE CIBERSEGURIDAD";"1219809";"0";"https://www.leychile.cl/Navegar?idNorma=1219809&idParte=0"
"Ciberseguridad";"Instrucción GENERAL N° 3";"IMPARTE INSTRUCCIONES SOBRE LA DESIGNACIÓN DEL DELEGADO DE CIBERSEGURIDAD  CONFORME AL LITERAL I) DEL ARTÍCULO 8° DE LA LEY N° 21.663";"26-DIC-2025";"MINISTERIO DE SEGURIDAD PÚBLICA,  AGENCIA NACIONAL DE CIBERSEGURIDAD";"1219810";"0";"https://www.leychile.cl/Navegar?idNorma=1219810&idParte=0"
"Ciberseguridad";"Instrucción GENERAL N° 4";"IMPARTE INSTRUCCIONES SOBRE LAS MEDIDAS NECESARIAS PARA REDUCIR EL IMPACTO Y LA PROPAGACIÓN DE UN INCIDENTE DE CIBERSEGURIDAD  CONFORME AL ARTÍCULO 8 LITERAL E) DE LA LEY N° 21.663";"26-DIC-2025";"MINISTERIO DE SEGURIDAD PÚBLICA,  AGENCIA NACIONAL DE CIBERSEGURIDAD";"1219811";"0";"https://www.leychile.cl/Navegar?idNorma=1219811&idParte=0"
"CONADI";"Decreto 263";"DEROGA DECRETO Nº 464 DE 1994  Y APRUEBA REGLAMENTO DEL ARTICULO 41 DE LA LEY 19.253";"23-SEP-1999";"MINISTERIO DE PLANIFICACIÓN Y COOPERACIÓN";"143973";"0";"https://www.leychile.cl/Navegar?idNorma=143973&idParte=0"
"CONADI";"Decreto 392";"APRUEBA REGLAMENTO QUE REGULA LA ACREDITACION DE CALIDAD DE INDIGENA  PARA LA CONSTITUCION DE COMUNIDADES INDIGENAS Y PARA LA PROTECCION DEL PATRIMONIO HISTORICO DE LAS CULTURAS INDIGENAS";"12-ABR-1994";"MINISTERIO DE PLANIFICACIÓN Y COOPERACIÓN";"12976";"0";"https://www.leychile.cl/Navegar?idNorma=12976&idParte=0"
"Concesiones Sanitarias";"Ley 18902";"CREA LA SUPERINTENDENCIA DE SERVICIOS SANITARIOS";"27-ENE-1990";"MINISTERIO DE ECONOMÍA";"30274";"0";"https://www.leychile.cl/Navegar?idNorma=30274&idParte=0"
"Concesiones Sanitarias";"Decreto 1199";"REGLAMENTO DE LAS CONCESIONES SANITARIAS DE PRODUCCIÓN Y DISTRIBUCIÓN DE AGUA POTABLE Y DE RECOLECCIÓN Y DISPOSICIÓN DE AGUAS SERVIDAS Y DE LAS NORMAS SOBRE CALIDAD DE ATENCIÓN A LOS USUARIOS DE ESTOS SERVICIOS";"09-NOV-2005";"MINISTERIO DE OBRAS PÚBLICAS";"243794";"0";"https://www.leychile.cl/Navegar?idNorma=243794&idParte=0"
"Concesiones Sanitarias";"Decreto con Fuerza de Ley 382";"LEY GENERAL DE SERVICIOS SANITARIOS";"21-JUN-1989";"MINISTERIO DE OBRAS PÚBLICAS";"5545";"0";"https://www.leychile.cl/Navegar?idNorma=5545&idParte=0"
"Consejo Nacional de la Cultura y de las Artes";"Ley 21045";"CREA EL MINISTERIO DE LAS CULTURAS  LAS ARTES Y EL PATRIMONIO";"03-NOV-2017";"MINISTERIO DE EDUCACIÓN";"1110097";"0";"https://www.leychile.cl/Navegar?idNorma=1110097&idParte=0"
"Consejo Nacional de la Cultura y de las Artes";"Ley 19981";"SOBRE FOMENTO AUDIOVISUAL";"10-NOV-2004";"MINISTERIO DE EDUCACIÓN";"232277";"0";"https://www.leychile.cl/Navegar?idNorma=232277&idParte=0"
"Consejo Nacional de la Cultura y de las Artes";"Ley 19928";"SOBRE FOMENTO DE LA MUSICA CHILENA";"31-ENE-2004";"MINISTERIO DE EDUCACIÓN";"220680";"0";"https://www.leychile.cl/Navegar?idNorma=220680&idParte=0"
"Consejo Nacional de la Cultura y de las Artes";"Ley 19891";"CREA EL FONDO NACIONAL DE DESARROLLO CULTURAL Y LAS ARTES";"23-AGO-2003";"MINISTERIO DE EDUCACIÓN";"213895";"0";"https://www.leychile.cl/Navegar?idNorma=213895&idParte=0"
"Consejo Nacional de la Cultura y de las Artes";"Ley 19227";"CREA FONDO NACIONAL DE FOMENTO DEL LIBRO Y LA LECTURA  Y MODIFICA CUERPOS LEGALES QUE SEÑALA";"10-JUL-1993";"MINISTERIO DE EDUCACIÓN PÚBLICA";"30594";"0";"https://www.leychile.cl/Navegar?idNorma=30594&idParte=0"
"Consejo Nacional de la Cultura y de las Artes";"Decreto 6";"APRUEBA REGLAMENTO DEL FONDO NACIONAL DE DESARROLLO CULTURAL Y LAS ARTES";"03-JUN-2021";"MINISTERIO DE LAS CULTURAS, LAS ARTES Y EL PATRIMONIO,  SUBSECRETARÍA DE LAS CULTURAS Y LAS ARTES";"1160647";"0";"https://www.leychile.cl/Navegar?idNorma=1160647&idParte=0"
"Consejo Nacional de la Cultura y de las Artes";"Decreto 151";"APRUEBA REGLAMENTO DEL FONDO DE FOMENTO AUDIOVISUAL";"12-SEP-2005";"MINISTERIO DE EDUCACIÓN";"241853";"0";"https://www.leychile.cl/Navegar?idNorma=241853&idParte=0"
"Consejo Nacional de la Cultura y de las Artes";"Decreto 187";"APRUEBA REGLAMENTO DEL FONDO DE FOMENTO DE LA MUSICA NACIONAL";"25-OCT-2004";"MINISTERIO DE EDUCACIÓN";"231661";"0";"https://www.leychile.cl/Navegar?idNorma=231661&idParte=0"
"Consejo Nacional de la Cultura y de las Artes";"Decreto 587";"APRUEBA REGLAMENTO DEL FONDO NACIONAL DE FOMENTO DEL LIBRO Y LA LECTURA";"27-SEP-1993";"MINISTERIO DE EDUCACIÓN PÚBLICA";"14452";"0";"https://www.leychile.cl/Navegar?idNorma=14452&idParte=0"
"Consejo Nacional de la Cultura y de las Artes";"Resolución 1478 EXENTA";"APRUEBA NORMAS DE FUNCIONAMIENTO INTERNO DEL CONSEJO NACIONAL DE LAS CULTURAS  LAS ARTES Y EL PATRIMONIO";"12-AGO-2019";"MINISTERIO DE LAS CULTURAS, LAS ARTES Y EL PATRIMONIO,  SUBSECRETARÍA DE LAS CULTURAS Y LAS ARTES";"1134818";"0";"https://www.leychile.cl/Navegar?idNorma=1134818&idParte=0"
"Consejo Nacional de la Cultura y de las Artes";"Resolución 5650 EXENTA";"APRUEBA PROCEDIMIENTO DE INSCRIPCIÓN EN REGISTRO NACIONAL DE ORGANIZACIONES CULTURALES DEL CONSEJO NACIONAL DE LA CULTURA Y LAS ARTES";"06-ENE-2012";"CONSEJO NACIONAL DE LA CULTURA Y LAS ARTES";"1035907";"0";"https://www.leychile.cl/Navegar?idNorma=1035907&idParte=0"
"Construcciones y Sismicidad";"Ley 21442";"APRUEBA NUEVA LEY DE COPROPIEDAD INMOBILIARIA";"13-ABR-2022";"MINISTERIO DE VIVIENDA Y URBANISMO";"1174663";"0";"https://www.leychile.cl/Navegar?idNorma=1174663&idParte=0"
"Construcciones y Sismicidad";"Ley 20958";"ESTABLECE UN SISTEMA DE APORTES AL ESPACIO PÚBLICO";"15-OCT-2016";"MINISTERIO DE VIVIENDA Y URBANISMO";"1095541";"0";"https://www.leychile.cl/Navegar?idNorma=1095541&idParte=0"
"Construcciones y Sismicidad";"Ley 20898";"ESTABLECE UN PROCEDIMIENTO SIMPLIFICADO PARA LA REGULARIZACIÓN DE VIVIENDAS DE AUTOCONSTRUCCIÓN";"04-FEB-2016";"MINISTERIO DE VIVIENDA Y URBANISMO";"1087285";"0";"https://www.leychile.cl/Navegar?idNorma=1087285&idParte=0"
"Construcciones y Sismicidad";"Ley 20296";"ESTABLECE DISPOSICIONES PARA LA INSTALACIÓN  MANTENCIÓN E INSPECCIÓN PERIÓDICA DE LOS ASCENSORES Y OTRAS INSTALACIONES SIMILARES";"23-OCT-2008";"MINISTERIO DE VIVIENDA Y URBANISMO";"280149";"0";"https://www.leychile.cl/Navegar?idNorma=280149&idParte=0"
"Construcciones y Sismicidad";"Ley 20071";"CREA Y REGULA EL REGISTRO NACIONAL DE REVISORES INDEPENDIENTES DE OBRAS DE EDIFICACION";"22-NOV-2005";"MINISTERIO DE VIVIENDA Y URBANISMO";"244229";"0";"https://www.leychile.cl/Navegar?idNorma=244229&idParte=0"
"Construcciones y Sismicidad";"Ley 19472";"MODIFICA EL D.F.L. N° 458  DE 1975  LEY GENERAL DE URBANISMO Y CONSTRUCCIONES  ESTABLECIENDO NORMAS RELATIVAS A LA CALIDAD DE LA CONSTRUCCION";"16-SEP-1996";"MINISTERIO DE VIVIENDA Y URBANISMO";"30839";"0";"https://www.leychile.cl/Navegar?idNorma=30839&idParte=0"
"Construcciones y Sismicidad";"Ley 16391";"CREA EL MINISTERIO DE LA VIVIENDA Y URBANISMO";"16-DIC-1965";"MINISTERIO DE OBRAS PÚBLICAS";"28433";"0";"https://www.leychile.cl/Navegar?idNorma=28433&idParte=0"
"Construcciones y Sismicidad";"Decreto 1055";"APRUEBA NUEVO REGLAMENTO DE LOS AUXILIARES DEL COMERCIO DE SEGUROS Y PROCEDIMIENTO DE LIQUIDACIÓN DE SINIESTROS";"29-DIC-2012";"MINISTERIO DE HACIENDA";"1047527";"0";"https://www.leychile.cl/Navegar?idNorma=1047527&idParte=0"
"Construcciones y Sismicidad";"Decreto 61";"APRUEBA REGLAMENTO QUE FIJA EL DISEÑO SÍSMICO DE EDIFICIOS Y DEROGA DECRETO Nº 117  DE 2010";"13-DIC-2011";"MINISTERIO DE VIVIENDA Y URBANISMO";"1034101";"0";"https://www.leychile.cl/Navegar?idNorma=1034101&idParte=0"
"Construcciones y Sismicidad";"Decreto 406 EXENTO";"DECLARA NORMA OFICIAL DE LA REPÚBLICA DE CHILE LA NORMA TÉCNICA QUE INDICA. ( DISEÑO SÍSMICO DE EDIFICIOS)";"12-JUN-2010";"MINISTERIO DE VIVIENDA Y URBANISMO";"1014474";"0";"https://www.leychile.cl/Navegar?idNorma=1014474&idParte=0"
"Construcciones y Sismicidad";"Decreto 178";"DECLARA NORMAS OFICIALES DE LA REPUBLICA DE CHILE LAS NORMAS TECNICAS QUE INDICA";"30-SEP-2003";"MINISTERIO DE VIVIENDA Y URBANISMO";"215179";"0";"https://www.leychile.cl/Navegar?idNorma=215179&idParte=0"
"Construcciones y Sismicidad";"Decreto 47";"FIJA NUEVO TEXTO DE LA ORDENANZA GENERAL DE LA LEY GENERAL DE URBANISMO Y CONSTRUCCIONES";"05-JUN-1992";"MINISTERIO DE VIVIENDA Y URBANISMO";"8201";"0";"https://www.leychile.cl/Navegar?idNorma=8201&idParte=0"
"Construcciones y Sismicidad";"Decreto 104";"FIJA EL TEXTO REFUNDIDO  COORDINADO Y SISTEMATIZADO DEL TITULO I DE LA LEY 16.282";"25-JUN-1977";"MINISTERIO DEL INTERIOR";"214423";"0";"https://www.leychile.cl/Navegar?idNorma=214423&idParte=0"
"Construcciones y Sismicidad";"Decreto 458";"LEY GENERAL DE URBANISMO Y CONSTRUCCIONES";"13-ABR-1976";"MINISTERIO DE VIVIENDA Y URBANISMO";"13560";"0";"https://www.leychile.cl/Navegar?idNorma=13560&idParte=0"
"Construcciones y Sismicidad";"Decreto 1101";"FIJA EL TEXTO DEFINITIVO DEL DECRETO CON FUERZA DE LEY N.O 2. DEL AÑO 1959  SOBRE PLAN HABITACIONAL";"18-JUL-1960";"MINISTERIO DE OBRAS PÚBLICAS";"16842";"0";"https://www.leychile.cl/Navegar?idNorma=16842&idParte=0"
"Construcciones y Sismicidad";"Código DE COMERCIO";"CODIGO DE COMERCIO";"23-NOV-1865";"MINISTERIO DE JUSTICIA";"1974";"0";"https://www.leychile.cl/Navegar?idNorma=1974&idParte=0"
"Construcciones y Sismicidad";"Decreto con Fuerza de Ley 251";"COMPAÑIAS DE SEGUROS  SOCIEDADES ANONIMAS Y BOLSAS DE COMERCIO";"22-MAY-1931";"MINISTERIO DE HACIENDA";"5201";"0";"https://www.leychile.cl/Navegar?idNorma=5201&idParte=0"
"Consulta Previa Indígena";"Decreto 12";"APRUEBA REGLAMENTO QUE REGULA EL PROCESO DE CONSULTA AL PUEBLO TRIBAL AFRODESCENDIENTE CHILENO";"26-AGO-2024";"MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA,  SUBSECRETARÍA DE SERVICIOS SOCIALES";"1206123";"0";"https://www.leychile.cl/Navegar?idNorma=1206123&idParte=0"
"Consulta Previa Indígena";"Decreto 66";"APRUEBA REGLAMENTO QUE REGULA EL PROCEDIMIENTO DE CONSULTA INDÍGENA EN VIRTUD DEL ARTÍCULO 6 Nº 1 LETRA A) Y Nº 2 DEL CONVENIO Nº 169 DE LA ORGANIZACIÓN INTERNACIONAL DEL TRABAJO Y DEROGA NORMATIVA QUE INDICA";"04-MAR-2014";"MINISTERIO DE DESARROLLO SOCIAL,  SUBSECRETARÍA DE SERVICIOS SOCIALES";"1059961";"0";"https://www.leychile.cl/Navegar?idNorma=1059961&idParte=0"
