"Grupo";"Norma";"Título";"Publicación";"Organismo";"idNorma";"idParte";"Url"
"Accesibilidad Universal";"Ley 21690";"INTRODUCE MODIFICACIONES AL CÓDIGO DEL TRABAJO Y OTROS CUERPOS LEGALES EN MATERIA DE INCLUSIÓN LABORAL DE PERSONAS CON DISCAPACIDAD Y ASIGNATARIAS DE PENSIÓN DE INVALIDEZ";"24-AGO-2024";"MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA";"1206100";"0";"https://www.leychile.cl/Navegar?idNorma=1206100&idParte=0"
"Accesibilidad Universal";"Ley 21275";"MODIFICA EL CÓDIGO DEL TRABAJO  PARA EXIGIR DE LAS EMPRESAS PERTINENTES LA ADOPCIÓN DE MEDIDAS QUE FACILITEN LA INCLUSIÓN LABORAL DE LOS TRABAJADORES CON DISCAPACIDAD";"21-OCT-2020";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL";"1150763";"0";"https://www.leychile.cl/Navegar?idNorma=1150763&idParte=0"
"Accesibilidad Universal";"Ley 21015";"INCENTIVA LA INCLUSIÓN DE PERSONAS CON DISCAPACIDAD AL MUNDO LABORAL";"15-JUN-2017";"MINISTERIO DE DESARROLLO SOCIAL";"1103997";"0";"https://www.leychile.cl/Navegar?idNorma=1103997&idParte=0"
"Accesibilidad Universal";"Ley 20978";"RECONOCE EL DEPORTE ADAPTADO Y PARALÍMPICO";"16-DIC-2016";"MINISTERIO DEL DEPORTE";"1098002";"0";"https://www.leychile.cl/Navegar?idNorma=1098002&idParte=0"
"Accesibilidad Universal";"Ley 20957";"PERMITE QUE PERSONAS EN SITUACIÓN DE DISCAPACIDAD PUEDAN SER NOMBRADAS EN CARGOS DE JUEZ O NOTARIO";"29-OCT-2016";"MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS";"1096101";"0";"https://www.leychile.cl/Navegar?idNorma=1096101&idParte=0"
"Accesibilidad Universal";"Ley 20927";"ESTABLECE NORMAS PARA EL ACCESO DE LA POBLACIÓN CON DISCAPACIDAD AUDITIVA A INFORMACIÓN PROPORCIONADA A TRAVÉS DE CONCESIONARIAS DE RADIODIFUSIÓN TELEVISIVA DE LIBRE RECEPCIÓN Y PERMISIONARIAS DE SERVICIOS LIMITADOS DE TELEVISIÓN";"28-JUN-2016";"MINISTERIO DE DESARROLLO SOCIAL";"1091913";"0";"https://www.leychile.cl/Navegar?idNorma=1091913&idParte=0"
"Accesibilidad Universal";"Ley 20530";"CREA EL MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA. COMITÉ INTERMINISTERIAL DE DESARROLLO SOCIAL Y FAMILIA REEMPLAZARÁ AL COMITÉ DE MINISTROS CREADO EN LA LEY N° 20.422  QUE ESTABLECE NORMAS SOBRE IGUALDAD DE OPORTUNIDADES E INCLUSIÓN SOCIAL DE PERSONAS CON DISCAPACIDAD";"13-OCT-2011";"MINISTERIO DE PLANIFICACIÓN";"1030861";"9193583";"https://www.leychile.cl/Navegar?idNorma=1030861&idParte=9193583"
"Accesibilidad Universal";"Ley 20535";"CONCEDE PERMISO A LOS PADRES DE HIJOS CON DISCAPACIDAD  PARA AUSENTARSE DEL TRABAJO";"03-OCT-2011";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,  SUBSECRETARÍA DEL TRABAJO";"1030318";"0";"https://www.leychile.cl/Navegar?idNorma=1030318&idParte=0"
"Accesibilidad Universal";"Ley 20459";"FACILITA EL ACCESO A LAS PENSIONES BÁSICAS SOLIDARIAS DE INVALIDEZ Y DE VEJEZ";"04-SEP-2010";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,  SUBSECRETARÍA DE PREVISIÓN SOCIAL";"1016846";"0";"https://www.leychile.cl/Navegar?idNorma=1016846&idParte=0"
"Accesibilidad Universal";"Ley 20422";"ESTABLECE NORMAS SOBRE IGUALDAD DE OPORTUNIDADES E INCLUSIÓN SOCIAL DE PERSONAS CON DISCAPACIDAD";"10-FEB-2010";"MINISTERIO DE PLANIFICACIÓN";"1010903";"0";"https://www.leychile.cl/Navegar?idNorma=1010903&idParte=0"
"Accesibilidad Universal";"Ley 20422";"OBLIGATORIEDAD DE JUEGOS INFANTILES NO MECANICOS  PARA NIÑOS Y NIÑAS CON DISCAPACIDAD";"10-FEB-2010";"MINISTERIO DE PLANIFICACIÓN";"1010903";"8869199";"https://www.leychile.cl/Navegar?idNorma=1010903&idParte=8869199"
"Accesibilidad Universal";"Ley 20255";"SUBSIDIO PARA PERSONAS CON DISCAPACIDAD MENTAL";"17-MAR-2008";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,  SUBSECRETARIA DE PREVISION SOCIAL";"269892";"8655411";"https://www.leychile.cl/Navegar?idNorma=269892&idParte=8655411"
"Accesibilidad Universal";"Ley 19885";"BENEFICIOS TRIBUTARIOS PARA PERSONAS Y ENTIDADES QUE DONAN A INSTITUCIONES QUE PRESTAN SERVICIOS DIRECTOS A PERSONAS DE ESCASOS RECURSOS O CON DISCAPACIDAD Y DEL FONDO MIXTO DE APOYO SOCIAL";"06-AGO-2003";"MINISTERIO DE HACIENDA";"213294";"8649290";"https://www.leychile.cl/Navegar?idNorma=213294&idParte=8649290"
"Accesibilidad Universal";"Ley 19284";"PERROS DE ASISTENCIA PARA PERSONAS CON DISCAPACIDAD";"14-ENE-1994";"MINISTERIO DE PLANIFICACIÓN Y COOPERACIÓN";"30651";"8489193";"https://www.leychile.cl/Navegar?idNorma=30651&idParte=8489193"
"Accesibilidad Universal";"Ley 17238";"CONCEDE A LOS PROFESIONALES Y TECNICOS CHILENOS QUE REGRESEN DEFINITIVAMENTE AL PAIS  EN LAS CONDICIONES QUE SEÑALA  LAS FRANQUICIAS ADUANERAS QUE INDICA PARA LA IMPORTACION DE LOS BIENES QUE ESTIPULA  Y  ASIMISMO  AUTORIZA LA IMPORTACION SIN DEPOSITO Y LIBERADA DEL PAGO DE TODO DERECHO  IMPUESTOS  TASAS Y DEMAS GRAVAMENES A LOS VEHICULOS CON CARACTERISTICAS TECNICAS ESPECIALES PARA SER USADOS POR PERSONAS LISIADAS  EN LAS CONDICIONES QUE INDICA  MODIFICA EL ARANCEL ADUANERO Y LA LEY 1...";"22-NOV-1969";"MINISTERIO DE HACIENDA";"28852";"0";"https://www.leychile.cl/Navegar?idNorma=28852&idParte=0"
"Accesibilidad Universal";"Decreto 54";"APRUEBA REGLAMENTO DEL SUBSIDIO PARA LAS PERSONAS CON DISCAPACIDAD MENTAL Y FÍSICA O SENSORIAL SEVERA A QUE SE REFIERE EL ARTÍCULO 35 DE LA LEY N° 20.255  CONFORME A LAS MODIFICACIONES INTRODUCIDAS EN LA LEY N° 21.419";"07-SEP-2022";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,  SUBSECRETARÍA DE PREVISIÓN SOCIAL";"1181014";"0";"https://www.leychile.cl/Navegar?idNorma=1181014&idParte=0"
"Accesibilidad Universal";"Decreto 37";"CREA COMISIÓN ASESORA MINISTERIAL DENOMINADA "CONSEJO DE ACCESIBILIDAD UNIVERSAL PARA PERSONAS CON DISCAPACIDAD"";"14-OCT-2021";"MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA,  SUBSECRETARÍA DE SERVICIOS SOCIALES";"1166392";"0";"https://www.leychile.cl/Navegar?idNorma=1166392&idParte=0"
"Accesibilidad Universal";"Decreto 369";"APRUEBA REGLAMENTO PARA EL TRANSPORTE AÉREO DE PERSONAS CON DISCAPACIDAD  CON MOVILIDAD REDUCIDA  ORGÁNICAMENTE DESCOMPENSADAS  AGÓNICAS O INCONSCIENTES";"26-OCT-2018";"MINISTERIO DE DEFENSA NACIONAL,  SUBSECRETARÍA PARA LAS FUERZAS ARMADAS";"1124597";"0";"https://www.leychile.cl/Navegar?idNorma=1124597&idParte=0"
"Accesibilidad Universal";"Decreto 64";"APRUEBA REGLAMENTO DEL CAPÍTULO II "DE LA INCLUSIÓN LABORAL DE PERSONAS CON DISCAPACIDAD"  DEL TÍTULO III DEL LIBRO I DEL CÓDIGO DEL TRABAJO  INCORPORADO POR LA LEY Nº 21.015  QUE INCENTIVA LA INCLUSIÓN DE PERSONAS CON DISCAPACIDAD AL MUNDO LABORAL";"01-FEB-2018";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL";"1114287";"0";"https://www.leychile.cl/Navegar?idNorma=1114287&idParte=0"
"Accesibilidad Universal";"Decreto 65";"APRUEBA REGLAMENTO DEL ARTÍCULO 45 DE LA LEY Nº 20.422  QUE ESTABLECE NORMAS SOBRE IGUALDAD DE OPORTUNIDADES E INCLUSIÓN SOCIAL DE PERSONAS CON DISCAPACIDAD";"01-FEB-2018";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL";"1114288";"0";"https://www.leychile.cl/Navegar?idNorma=1114288&idParte=0"
"Accesibilidad Universal";"Decreto 49";"APRUEBA REGLAMENTO DEL PROGRAMA FONDO SOLIDARIO DE ELECCIÓN DE VIVIENDA  SUBSIDIO PARA PERSONAS CON DISCAPACIDAD.";"26-ABR-2012";"MINISTERIO DE VIVIENDA Y URBANISMO";"1039424";"9608157";"https://www.leychile.cl/Navegar?idNorma=1039424&idParte=9608157"
"Accesibilidad Universal";"Decreto 32";"APRUEBA REGLAMENTO QUE ESTABLECE NORMAS PARA LA APLICACIÓN DE MECANISMOS DE COMUNICACIÓN AUDIOVISUAL QUE POSIBILITEN EL ACCESO A LA PROGRAMACIÓN TELEVISIVA PARA PERSONAS CON DISCAPACIDAD AUDITIVA";"04-FEB-2012";"MINISTERIO DE PLANIFICACIÓN";"1037014";"0";"https://www.leychile.cl/Navegar?idNorma=1037014&idParte=0"
"Accesibilidad Universal";"Decreto 1253";"DICTA REGLAMENTO QUE DETERMINA PROCEDIMIENTOS Y COMPETENCIAS PARA LA OBTENCIÓN DE BENEFICIOS ARANCELARIOS Y TRIBUTARIOS. (VEHICULOS Y MERCANCIAS PARA PERSONAS CON DISCAPACIDAD)";"21-OCT-2011";"MINISTERIO DE HACIENDA";"1031488";"0";"https://www.leychile.cl/Navegar?idNorma=1031488&idParte=0"
"Accesibilidad Universal";"Decreto 142";"APRUEBA REGLAMENTO DE LA LEY Nº20.422  QUE ESTABLECE NORMAS SOBRE IGUALDAD DE OPORTUNIDADES E INCLUSIÓN SOCIAL DE PERSONAS CON DISCAPACIDAD  RELATIVO AL TRANSPORTE PÚBLICO DE PASAJEROS";"09-JUL-2011";"MINISTERIO DE PLANIFICACIÓN";"1027577";"0";"https://www.leychile.cl/Navegar?idNorma=1027577&idParte=0"
"Accesibilidad Universal";"Decreto 1";"APRUEBA REGLAMENTO DEL SISTEMA INTEGRADO DE SUBSIDIO HABITACIONAL .( DISCAPACIDAD)";"06-JUN-2011";"MINISTERIO DE VIVIENDA Y URBANISMO";"1026260";"9147805";"https://www.leychile.cl/Navegar?idNorma=1026260&idParte=9147805"
"Accesibilidad Universal";"Decreto 201";"PROMULGA LA CONVENCIÓN DE LAS NACIONES UNIDAS SOBRE LOS DERECHOS DE LAS PERSONAS CON DISCAPACIDAD Y SU PROTOCOLO FACULTATIVO";"17-SEP-2008";"MINISTERIO DE RELACIONES EXTERIORES";"278018";"0";"https://www.leychile.cl/Navegar?idNorma=278018&idParte=0"
"Accesibilidad Universal";"Decreto 223";"APRUEBA REGLAMENTO DE LA LEY Nº 19.284  QUE REGULA EL USO DE PERROS GUÍAS  DE SEÑAL O DE SERVICIO POR PARTE DE LAS PERSONAS CON DISCAPACIDAD";"05-JUN-2007";"MINISTERIO DE PLANIFICACIÓN";"261428";"0";"https://www.leychile.cl/Navegar?idNorma=261428&idParte=0"
"Accesibilidad Universal";"Decreto 1";"REGLAMENTA CAPITULO II TITULO IV DE LA LEY Nº19.284 QUE ESTABLECE NORMAS PARA LA INTEGRACION SOCIAL DE PERSONAS CON DISCAPACIDAD";"11-FEB-2000";"MINISTERIO DE EDUCACIÓN";"155849";"0";"https://www.leychile.cl/Navegar?idNorma=155849&idParte=0"
"Accesibilidad Universal";"Decreto 939";"REGLAMENTA EL SISTEMA DE REINTEGRO DE LA TOTALIDAD DE LOS GRAVAMENES ADUANEROS QUE SE PAGUEN POR LA IMPORTACION DE AYUDAS TECNICAS PARA PERSONAS CON ALGUNA DISCAPACIDAD";"22-MAY-1995";"MINISTERIO DE HACIENDA";"16305";"0";"https://www.leychile.cl/Navegar?idNorma=16305&idParte=0"
"Accesibilidad Universal";"Decreto 300";"AUTORIZA LA ORGANIZACION Y FUNCIONAMIENTO DE CURSOS TALLERES BASICOS PARA MAYORES DE 26 AÑOS CON DISCAPACIDAD";"05-AGO-1994";"MINISTERIO DE EDUCACIÓN PÚBLICA";"20936";"0";"https://www.leychile.cl/Navegar?idNorma=20936&idParte=0"
"Accesibilidad Universal";"Decreto 141";"MODIFICA DECRETO N° 212  DE 1992. "ASIENTO PREFERENTE PARA PERSONAS CON DISCAPACIDAD"";"02-JUL-1994";"MINISTERIO DE TRANSPORTES Y TELECOMUNICACIONES";"9941";"0";"https://www.leychile.cl/Navegar?idNorma=9941&idParte=0"
"Accesibilidad Universal";"Decreto 47";"FIJA NUEVO TEXTO DE LA ORDENANZA GENERAL DE LA LEY GENERAL DE URBANISMO Y CONSTRUCCIONES";"05-JUN-1992";"MINISTERIO DE VIVIENDA Y URBANISMO";"8201";"8733749";"https://www.leychile.cl/Navegar?idNorma=8201&idParte=8733749"
"Accesibilidad Universal";"Decreto 140";"REGLAMENTA PROGRAMAS DE VIVIENDAS PROGRESIVAS. INSCRITOS EN EL REGISTRO NACIONAL DE LA DISCAPACIDAD  LE CORRESPONDERÁN 10 PUNTOS ADICIONALES COMO POSTULANTE";"22-OCT-1990";"MINISTERIO DE VIVIENDA Y URBANISMO";"9911";"8259263";"https://www.leychile.cl/Navegar?idNorma=9911&idParte=8259263"
"Accesibilidad Universal";"Decreto 62";"REGLAMENTA SISTEMA DE POSTULACION  ASIGNACION Y VENTA DE VIVIENDAS DESTINADAS A ATENDER SITUACIONES DE MARGINALIDAD HABITACIONAL. ( CONDICIONES PARA EL DESPLAZAMIENTO PARA PERSONAS CON DISCAPACIDAD.)";"20-JUN-1984";"MINISTERIO DE VIVIENDA Y URBANISMO";"8484";"8449715";"https://www.leychile.cl/Navegar?idNorma=8484&idParte=8449715"
"Accesibilidad Universal";"Decreto 1447";"ESTABLECE NORMAS PARA ACCESOS DE LISIADOS A EDIFICIOS DE;LA ADMINISTRACION DEL ESTADO";"26-SEP-1980";"MINISTERIO DE OBRAS PÚBLICAS";"168389";"0";"https://www.leychile.cl/Navegar?idNorma=168389&idParte=0"
"Accesibilidad Universal";"Decreto 1950";"REGLAMENTO SOBRE IMPORTACION DE VEHICULOS PARA PERSONAS LISIADAS";"11-SEP-1970";"MINISTERIO DE HACIENDA";"1022343";"0";"https://www.leychile.cl/Navegar?idNorma=1022343&idParte=0"
"Accesibilidad Universal";"Resolución 316 EXENTA";"FIJA NORMA TECNICA RELATIVA A LA PRESTACION DEL SERVICIO PUBLICO TELEFONICO  PRESTADO A DISCAPACITADOS  A TRAVES DE TELEFONOS PUBLICOS";"16-MAR-2000";"MINISTERIO DE TRANSPORTES Y TELECOMUNICACIONES,  SUBSECRETARIA DE TELECOMUNICACIONES";"161161";"0";"https://www.leychile.cl/Navegar?idNorma=161161&idParte=0"
"Accesibilidad Universal";"Decreto con Fuerza de Ley 2";"RECONOCE EL DERECHO A LA ASISTENCIA EN EL ACTO DE VOTAR PARA LAS PERSONAS CON DISCAPACIDAD";"06-SEP-2017";"MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA";"1108229";"9836376";"https://www.leychile.cl/Navegar?idNorma=1108229&idParte=9836376"
"Accesibilidad Universal";"Decreto con Fuerza de Ley 1";"INFRACCION POR ESTACIONAR EN ESPACIO DESTINADO A VEHICULOS PARA PERSONAS CON DISCAPACIDAD";"29-OCT-2009";"MINISTERIO DE TRANSPORTES Y TELECOMUNICACIONES,  SUBSECRETARÍA DE TRANSPORTES,  MINISTERIO DE JUSTICIA,  SUBSECRETARÍA DE JUSTICIA";"1007469";"8795256";"https://www.leychile.cl/Navegar?idNorma=1007469&idParte=8795256"
"Accesibilidad Universal";"Decreto con Fuerza de Ley 1";"FIJA TEXTO REFUNDIDO  COORDINADO Y SISTEMATIZADO DEL CODIGO CIVIL; DE LA LEY Nº4.808  SOBRE REGISTRO CIVIL  DE LA LEY Nº17.344  QUE AUTORIZA CAMBIO DE NOMBRES Y APELLIDOS  DE LA LEY Nº 16.618  LEY DE MENORES  DE LA LEY Nº 14.908  SOBRE ABANDONO DE FAMILIA Y PAGO DE PENSIONES ALIMENTICIAS  Y DE LA LEY Nº16.271  DE IMPUESTO A LAS HERENCIAS  ASIGNACIONES Y DONACIONES";"30-MAY-2000";"MINISTERIO DE JUSTICIA";"172986";"0";"https://www.leychile.cl/Navegar?idNorma=172986&idParte=0"
"Accesibilidad Universal";"Decreto Ley 2251";"BONIFICA LA CONTRATACION DE TRABAJADORES CIEGOS Y SORDOMUDOS Y OTORGA SUBSIDIO A ENFERMOS DEL MAL DE HANSSEN";"01-JUL-1978";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,  SUBSECRETARÍA DEL TRABAJO";"177511";"0";"https://www.leychile.cl/Navegar?idNorma=177511&idParte=0"
"Acceso a la Información Pública";"Ley 20575";"ESTABLECE EL PRINCIPIO DE FINALIDAD EN EL TRATAMIENTO DE DATOS PERSONALES";"17-FEB-2012";"MINISTERIO DE ECONOMÍA, FOMENTO Y TURISMO,  SUBSECRETARÍA DE ECONOMÍA Y EMPRESAS DE MENOR TAMAÑO";"1037366";"0";"https://www.leychile.cl/Navegar?idNorma=1037366&idParte=0"
"Acceso a la Información Pública";"Ley 20500";"SOBRE ASOCIACIONES Y PARTICIPACIÓN CIUDADANA EN LA GESTIÓN PÚBLICA";"16-FEB-2011";"MINISTERIO SECRETARÍA GENERAL DE GOBIERNO";"1023143";"0";"https://www.leychile.cl/Navegar?idNorma=1023143&idParte=0"
"Acceso a la Información Pública";"Ley 20285";"SOBRE ACCESO A LA INFORMACIÓN PÚBLICA";"20-AGO-2008";"MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA";"276363";"0";"https://www.leychile.cl/Navegar?idNorma=276363&idParte=0"
"Acceso a la Información Pública";"Ley 19880";"ESTABLECE BASES DE LOS PROCEDIMIENTOS ADMINISTRATIVOS QUE RIGEN LOS ACTOS DE LOS ORGANOS DE LA ADMINISTRACION DEL ESTADO.";"29-MAY-2003";"MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA";"210676";"0";"https://www.leychile.cl/Navegar?idNorma=210676&idParte=0"
"Acceso a la Información Pública";"Ley 19628";"SOBRE PROTECCION DE LA VIDA PRIVADA";"28-AGO-1999";"MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA";"141599";"0";"https://www.leychile.cl/Navegar?idNorma=141599&idParte=0"
"Acceso a la Información Pública";"Decreto 2";"REGLAMENTO DE LA LEY Nº20.880 SOBRE PROBIDAD EN LA FUNCIÓN PÚBLICA Y PREVENCIÓN DE LOS CONFLICTOS DE INTERESES";"02-JUN-2016";"MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA";"1091123";"0";"https://www.leychile.cl/Navegar?idNorma=1091123&idParte=0"
"Acceso a la Información Pública";"Decreto 20";"APRUEBA ESTATUTOS DE FUNCIONAMIENTO DEL CONSEJO PARA LA TRANSPARENCIA";"23-MAY-2009";"MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA";"1002606";"0";"https://www.leychile.cl/Navegar?idNorma=1002606&idParte=0"
"Acceso a la Información Pública";"Decreto 13";"REGLAMENTO DE LA LEY Nº 20.285 SOBRE ACCESO A LA INFORMACIÓN PÚBLICA";"13-ABR-2009";"MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA";"1001095";"0";"https://www.leychile.cl/Navegar?idNorma=1001095&idParte=0"
"Acceso a la Información Pública";"Decreto 100";"CONSAGRA CONSTITUCIONALMENTE EL ACCESO A LA INFORMACIÓN PÚBLICA";"22-SEP-2005";"MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA";"242302";"8563475";"https://www.leychile.cl/Navegar?idNorma=242302&idParte=8563475"
"Acceso a la Información Pública";"Decreto 779";"APRUEBA REGLAMENTO DEL REGISTRO DE BANCOS DE DATOS PERSONALES A CARGO DE ORGANISMOS PUBLICOS";"11-NOV-2000";"MINISTERIO DE JUSTICIA";"177681";"0";"https://www.leychile.cl/Navegar?idNorma=177681&idParte=0"
"Acceso a la Información Pública";"Resolución 500 EXENTA";"APRUEBA NUEVO TEXTO DE LA INSTRUCCIÓN GENERAL DEL CONSEJO PARA LA TRANSPARENCIA  SOBRE TRANSPARENCIA ACTIVA Y DEROGA EXPRESAMENTE LAS INSTRUCCIONES GENERALES N° 3  4  7  8  9 Y 11  DE ESTE CONSEJO";"04-ENE-2023";"CONSEJO PARA LA TRANSPARENCIA";"1187338";"0";"https://www.leychile.cl/Navegar?idNorma=1187338&idParte=0"
"Acceso a la Información Pública";"Resolución 358 EXENTA";"ESTABLECE INSTRUCCIÓN GENERAL SOBRE PRESENTACIÓN DE RECLAMOS Y AMPAROS ANTE DELEGACIONES PRESIDENCIALES PROVINCIALES Y DEROGA INSTRUCCIÓN GENERAL N° 1  DEL CONSEJO PARA LA TRANSPARENCIA";"23-SEP-2022";"CONSEJO PARA LA TRANSPARENCIA";"1181853";"0";"https://www.leychile.cl/Navegar?idNorma=1181853&idParte=0"
"Acceso a la Información Pública";"Resolución 267 EXENTA";"APRUEBA REGLAMENTO DE ATENCIÓN DE USUARIOS DEL CONSEJO PARA LA TRANSPARENCIA";"17-DIC-2020";"CONSEJO PARA LA TRANSPARENCIA";"1153732";"0";"https://www.leychile.cl/Navegar?idNorma=1153732&idParte=0"
"Acceso a la Información Pública";"Resolución 304 EXENTA";"APRUEBA EL TEXTO ACTUALIZADO Y REFUNDIDO DE LAS RECOMENDACIONES DEL CONSEJO PARA LA TRANSPARENCIA SOBRE PROTECCIÓN DE DATOS PERSONALES POR PARTE DE LOS ÓRGANOS DE LA ADMINISTRACIÓN DEL ESTADO Y SUSTITUYE TEXTO QUE INDICA";"07-DIC-2020";"CONSEJO PARA LA TRANSPARENCIA";"1152996";"0";"https://www.leychile.cl/Navegar?idNorma=1152996&idParte=0"
"Acceso a la Información Pública";"Resolución 473 EXENTA";"APRUEBA REGLAMENTO SOBRE FUNCIONAMIENTO DEL SISTEMA DE VIDEOVIGILANCIA DEL CONSEJO PARA LA TRANSPARENCIA";"16-OCT-2019";"CONSEJO PARA LA TRANSPARENCIA";"1137726";"0";"https://www.leychile.cl/Navegar?idNorma=1137726&idParte=0"
"Acceso a la Información Pública";"Resolución 30";"FIJA NORMAS DE PROCEDIMIENTO SOBRE RENDICIÓN DE CUENTAS";"28-MAR-2015";"CONTRALORÍA GENERAL DE LA REPÚBLICA";"1075796";"0";"https://www.leychile.cl/Navegar?idNorma=1075796&idParte=0"
"Acceso a la Información Pública";"Acuerdo S/N";"INSTRUCCIÓN GENERAL N° 10  SOBRE EL PROCEDIMIENTO ADMINISTRATIVO DE ACCESO A LA INFORMACIÓN";"17-DIC-2011";"CONSEJO PARA LA TRANSPARENCIA";"1035144";"0";"https://www.leychile.cl/Navegar?idNorma=1035144&idParte=0"
"Acceso a la Información Pública";"Decreto con Fuerza de Ley 1";"Ley Orgánica Constitucional de bases generales de la administración del Estado.";"17-NOV-2001";"MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA";"191865";"0";"https://www.leychile.cl/Navegar?idNorma=191865&idParte=0"
"Acceso a la Información Pública";"Instrucción 6";"INSTRUCCIÓN GENERAL Nº 6 SOBRE GRATUIDAD Y COSTOS DIRECTOS DE REPRODUCCIÓN";"30-MAR-2010";"CONSEJO PARA LA TRANSPARENCIA";"1012135";"0";"https://www.leychile.cl/Navegar?idNorma=1012135&idParte=0"
"Acceso a la Información Pública";"Instrucción 5";"INSTRUCCIÓN GENERAL N° 5 SOBRE TRANSPARENCIA ACTIVA PARA EMPRESAS PÚBLICAS  EMPRESAS DEL ESTADO Y SOCIEDADES DEL ESTADO";"03-FEB-2010";"CONSEJO PARA LA TRANSPARENCIA";"1010731";"0";"https://www.leychile.cl/Navegar?idNorma=1010731&idParte=0"
"Acceso a la Información Pública";" ";"PARTICIPACIÓN DE LA COMUNIDAD EN EL PROCEDIMIENTO DE EVALUACIÓN DE IMPACTO AMBIENTAL.";"";"";"30667";"8640099";"https://www.leychile.cl/Navegar?idNorma=30667&idParte=8640099"
"Acceso a la Vivienda";"Ley 21631";"ESTABLECE UN BENEFICIO TRIBUTARIO TRANSITORIO Y EXTRAORDINARIO A LA COMPRA DE VIVIENDAS NUEVAS ADQUIRIDAS CON CRÉDITOS CON GARANTÍA HIPOTECARIA";"31-OCT-2023";"MINISTERIO DE HACIENDA";"1197372";"0";"https://www.leychile.cl/Navegar?idNorma=1197372&idParte=0"
"Acceso a la Vivienda";"Ley 16391";"CREA EL MINISTERIO DE LA VIVIENDA Y URBANISMO";"16-DIC-1965";"MINISTERIO DE OBRAS PÚBLICAS";"28433";"0";"https://www.leychile.cl/Navegar?idNorma=28433&idParte=0"
"Acceso a la Vivienda";"Decreto 32";"MODIFICA DECRETO SUPREMO Nº 47  DE VIVIENDA Y URBANISMO  DE 1992  ORDENANZA GENERAL DE URBANISMO Y CONSTRUCCIONES  EN EL SENTIDO DE ADECUAR EL REGLAMENTO ESPECIAL DE VIVIENDAS ECONÓMICAS CON EL OBJETO DE PROPICIAR LA APLICACIÓN DE PROGRAMAS HABITACIONALES DEL ESTADO QUE FAVOREZCAN LA RADICACIÓN DE FAMILIAS EN PROYECTOS DE PEQUEÑA ESCALA";"13-JUN-2020";"MINISTERIO DE VIVIENDA Y URBANISMO";"1146551";"0";"https://www.leychile.cl/Navegar?idNorma=1146551&idParte=0"
"Acceso a la Vivienda";"Decreto 19";"APRUEBA POLÍTICA NACIONAL DE DESARROLLO RURAL";"05-MAY-2020";"MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA,  SUBSECRETARÍA DEL INTERIOR";"1144878";"0";"https://www.leychile.cl/Navegar?idNorma=1144878&idParte=0"
"Acceso a la Vivienda";"Decreto 19";"REGLAMENTA PROGRAMA DE INTEGRACIÓN SOCIAL Y TERRITORIAL  Y MODIFICA DS N° 1  (V. Y U.)  DE 2011  REGLAMENTO DEL SISTEMA INTEGRADO DE SUBSIDIO HABITACIONAL";"14-JUL-2016";"MINISTERIO DE VIVIENDA Y URBANISMO";"1092547";"0";"https://www.leychile.cl/Navegar?idNorma=1092547&idParte=0"
"Acceso a la Vivienda";"Decreto 1156";"ESTABLECE ÁREA DE EXCLUSIÓN DE LA PROHIBICIÓN DEL ARTÍCULO 7° DEL DECRETO LEY N° 1.939  DE 1977  RESPECTO DE LOS BIENES RAÍCES SITUADOS EN ÁREA DE LA COMUNA DE ARICA";"05-ENE-2016";"MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA";"1086064";"0";"https://www.leychile.cl/Navegar?idNorma=1086064&idParte=0"
"Acceso a la Vivienda";"Decreto 10";"REGLAMENTA PROGRAMA DE HABITABILIDAD RURAL";"21-OCT-2015";"MINISTERIO DE VIVIENDA Y URBANISMO";"1082987";"0";"https://www.leychile.cl/Navegar?idNorma=1082987&idParte=0"
"Acceso a la Vivienda";"Decreto 116";"REGLAMENTA SUBSIDIO HABITACIONAL EXTRAORDINARIO PARA PROYECTOS DE INTEGRACIÓN SOCIAL";"07-FEB-2015";"MINISTERIO DE VIVIENDA Y URBANISMO";"1074571";"0";"https://www.leychile.cl/Navegar?idNorma=1074571&idParte=0"
